timestamp,pair,open,high,low,close,volume
2026-01-05T14:00:00Z,EUR_USD,1.1000,1.1010,1.0990,1.1000,1000
2026-01-05T15:00:00Z,EUR_USD,1.1000,1.1020,1.1000,1.1010,1000
2026-01-05T16:00:00Z,EUR_USD,1.1010,1.1030,1.1010,1.1020,1000
2026-01-05T17:00:00Z,EUR_USD,1.1020,1.1040,1.1020,1.1030,1000
2026-01-05T18:00:00Z,EUR_USD,1.1030,1.1035,1.1015,1.1020,1000
2026-01-05T19:00:00Z,EUR_USD,1.1020,1.1050,1.1020,1.1045,1000
2026-01-05T20:00:00Z,EUR_USD,1.1045,1.1080,1.1040,1.1070,1000
2026-01-05T21:00:00Z,EUR_USD,1.1000,1.1010,1.0990,1.1000,1000
2026-01-05T22:00:00Z,EUR_USD,1.1000,1.1020,1.1000,1.1010,1000
2026-01-05T23:00:00Z,EUR_USD,1.1010,1.1030,1.1010,1.1020,1000
2026-01-06T00:00:00Z,EUR_USD,1.1020,1.1040,1.1020,1.1030,1000
2026-01-06T01:00:00Z,EUR_USD,1.1030,1.1035,1.1015,1.1020,1000
2026-01-06T02:00:00Z,EUR_USD,1.1020,1.1050,1.1020,1.1045,1000
2026-01-06T03:00:00Z,EUR_USD,1.1045,1.1080,1.1040,1.1070,1000
2026-01-06T04:00:00Z,EUR_USD,1.1000,1.1010,1.0990,1.1000,1000
2026-01-06T05:00:00Z,EUR_USD,1.1000,1.1020,1.1000,1.1010,1000
2026-01-06T06:00:00Z,EUR_USD,1.1010,1.1030,1.1010,1.1020,1000
2026-01-06T07:00:00Z,EUR_USD,1.1020,1.1040,1.1020,1.1030,1000
2026-01-06T08:00:00Z,EUR_USD,1.1030,1.1035,1.1015,1.1020,1000
2026-01-06T09:00:00Z,EUR_USD,1.1020,1.1050,1.1020,1.1045,1000
2026-01-06T10:00:00Z,EUR_USD,1.1045,1.1080,1.1040,1.1070,1000
